f(351), f(1069), f(343), f(453), f(249), u(779,554), f(1967), f(1532), 
f(1535), f(1646), u(1251,629), f(1835), f(802), f(1571), f(1740), f(1349), 
f(1164), f(711), u(1654,832), f(1959), u(425,1917), f(818), f(1516), f(56), 
f(1514), u(1179,86), f(638), u(884,1830), f(237), f(504), f(473), f(812), 
f(854), f(764), u(321,1045), f(194), f(1547), u(685,460), u(609,1775), u(1302,797), 
f(1465), f(466), f(1935), f(863), f(1619), u(560,270), f(1501), u(280,589), 
f(438), f(1431), u(1980,500), f(1511), f(1790), f(791), f(254), f(475), 
f(1306), f(484), f(1580), u(953,305), u(1890,1228), f(955), f(1489), f(960), 
f(196), f(694), u(1559,1422), f(1409), u(1926,1103), f(1158), f(1564), u(604,565), 
f(586), f(837), f(889), f(976), f(832), u(512,71), f(229), f(1294), 
f(1106), f(1131), f(327), f(344), f(584), f(1670), f(1791), f(1081), 
u(1310,1381), u(213,1630), u(847,704), f(274), u(354,960), f(1010), f(704), f(241), 
f(1214), f(1114), f(1604), f(534), f(1104), f(1776), f(136), f(1815), 
f(330), u(332,570), f(1073), u(414,42), f(1243), f(1092), u(1647,66), u(756,1233), 
u(1253,1831), f(1459), f(1965), f(224), u(1599,1742), f(27), f(724), u(366,152), 
u(318,1577), u(1582,1198), f(458), u(1229,664), f(1929), f(368), u(108,288), u(1770,1917), 
f(1912), f(78), f(292), u(395,167), u(1892,1840), f(1732), u(343,136), f(1474), 
u(320,188), u(49,1525), f(55), f(216), f(619), u(1771,1516), f(331), f(1762), 
f(1751), f(470), u(1211,1752), f(1357), f(1210), f(1180), f(89), f(1040), 
f(19), f(954), u(1016,1550), f(1396), f(1342), f(41), u(1896,1006), u(1290,256), 
u(672,1408), u(1908,1510), f(1268), u(1272,1701), u(1442,678), u(970,1795), u(1055,989), f(692), 
u(431,231), f(408), f(1657), f(1639), f(1742), f(1287), f(1907), f(1042), 
f(651), u(1957,864), u(318,1067), f(628), f(315), f(485), u(1441,440), u(846,1549), 
