u(1027,351), u(616,1068), u(1894,343), u(1403,452), u(989,249), u(167,778), u(554,735), u(1965,1070), 
u(1530,1292), u(1533,1559), u(1645,303), u(1250,629), u(693,1833), u(1039,801), u(1212,1570), u(1862,1738), 
u(1732,1348), u(1516,1163), u(778,710), u(400,1653), u(831,926), u(1957,252), u(425,1915), u(1474,817), 
u(1559,1515), u(1912,56), u(637,1513), u(485,1178), u(86,1911), u(637,118), u(883,1829), u(1143,237), 
u(1138,503), u(991,473), u(953,811), u(1745,853), u(716,763), u(86,321), u(1044,1392), u(194,801), 
u(1546,489), u(685,459), u(595,608), u(1773,73), u(1301,796), u(1351,1464), u(1874,466), u(1676,1933), 
u(1556,862), u(1347,1617), u(317,559), u(270,1727), u(1499,415), u(279,588), u(1604,437), u(1125,1430), 
u(394,1978), u(499,860), u(1509,1720), u(1788,1955), u(790,863), u(254,914), u(475,1971), u(1304,1207), 
u(483,909), u(1579,157), u(952,305), u(491,1889), u(1227,1975), u(954,1598), u(1487,761), u(959,1053), 
u(196,1187), u(694,286), u(1558,1421), u(891,1408), u(190,1924), u(1102,1479), u(1157,1275), u(1562,375), 
u(603,565), u(1367,585), u(1130,836), u(612,888), u(1130,975), u(1212,831), u(260,511), u(71,1953), 
u(228,755), u(1292,700), u(1105,716), u(1130,950), u(327,1229), u(344,1108), u(584,1743), u(1669,1688), 
u(1790,1188), u(1080,336), u(1309,1380), u(527,213), u(1629,382), u(846,703), u(1677,274), u(525,354), 
u(959,759), u(1009,1005), u(703,1050), u(241,1038), u(1213,1465), u(1113,687), u(1603,1181), u(533,1340), 
u(1103,1577), u(1774,1779), u(136,1600), u(1813,1287), u(330,602), u(332,570), u(1683,1072), u(72,414), 
u(42,715), u(1242,1039), u(1091,307), u(1645,66), u(51,755), u(1232,40), u(1252,1829), u(749,1458), 
u(791,1963), u(1193,224), u(442,1597), u(1740,1475), u(27,1478), u(836,723), u(407,366), u(152,230), 
u(318,1575), u(80,1580), u(1197,804), u(457,365), u(1227,663), u(1209,1927), u(755,368), u(599,108), 
u(287,20), u(1768,1915), u(1251,1910), u(1261,78), u(702,292), u(211,394), u(167,53), u(1890,1838), 
u(1815,1730), u(297,343), u(136,1301), u(1473,204), u(319,187), u(243,49), u(1523,1912), u(55,1292), 
u(215,855), u(619,37), u(1769,1514), u(1018,331), u(1525,1760), u(998,1749), u(1468,469), u(103,1210), 
u(1751,1007), u(1356,1977), u(1208,992), u(1178,1790), u(89,1764), u(216,1039), u(1157,19), u(773,953), 
u(385,1015), u(1549,708), u(1394,1824), u(1341,1410), u(853,41), u(425,1894), u(1005,388), u(1288,255), 
u(529,671), u(1406,76), u(1906,1508), u(1747,1267), u(486,1270), u(1700,474), u(1441,678), u(100,969), 
u(1794,484), u(1054,988), u(1709,691), u(247,430), u(230,726), u(407,871), u(1655,1018), u(1638,821), 
u(1740,1425), u(1286,1162), u(1905,921), u(1041,717), u(651,17), u(1955,863), u(351,318), u(1066,1155), 
u(628,683), u(315,872), u(485,402), u(1440,440), u(389,845), u(1547,1660), u(489,10), u(1027,691), 
u(164,1409), u(520,702), u(1071,1737), u(607,158), u(908,752), u(928,1656), u(47,1806), u(395,1266), 
u(258,471), u(1199,1293), u(1678,1684), u(313,426), u(1247,869), u(1137,179), u(761,1447), u(1021,1589), 
u(1765,201), u(1320,1097), u(1455,901), u(1682,1546), u(770,1664), u(1253,1239), u(880,448), u(491,991), 
u(1245,145), u(265,123), u(1438,1700), u(1945,1316), u(1913,701), u(1153,1281), u(1913,1853), u(869,1174), 
u(1700,815), u(586,1687), u(1299,1796), u(1188,778), u(939,378), u(252,935), u(1385,1983), u(1451,1959), 
u(1336,1437), u(754,168), u(97,54), u(1103,1971), u(682,1686), u(262,761), u(1577,189), u(1512,1043), 
u(308,1704), u(1906,749), u(1027,241), u(1737,1682), u(1302,1954), u(1933,1006), u(287,594), u(1058,1737), 
u(1468,1521), u(599,1175), u(174,780), u(243,1193), u(1034,605), u(1815,1348), u(1570,1851), u(1575,730), 
u(1118,760), u(1555,1497), u(1256,493), u(1627,31), u(936,894), u(995,651), u(497,893), u(781,1828), 
u(1761,1005), u(417,1826), u(380,357), u(1505,1718), u(1639,1674), u(1855,709), u(1898,677), u(1373,1709), 
u(847,1308), u(495,83), u(788,1248), u(844,1527), u(103,1133), u(820,5), u(1115,1937), u(1779,1672), 
u(1526,1934), u(1515,1743), u(1610,1697), u(720,223), u(356,551), u(1109,1450), u(753,938), u(908,1388), 
u(1399,116), u(375,1595), u(612,1637), u(1061,1816), u(254,47), u(1481,143), u(1427,1217), u(897,648), 
u(1262,1794), u(1887,1483), u(948,154), u(1404,1318), u(226,329), u(992,1112), u(516,1344), u(1866,1115), 
u(1864,1383), u(1534,62), u(1906,1232), u(1639,482), u(27,446), u(1737,1075), u(908,663), u(667,73), 
u(652,1505), u(214,542), u(1664,1512), u(763,1557), u(1483,1537), u(1608,177), u(1754,1046), u(1627,175), 
u(522,752), u(996,446), u(35,38), u(1626,1040), u(1247,582), u(1036,1750), u(1218,641), u(1309,1198), 
u(570,1427), u(1864,1353), u(1217,2), u(1687,1425), u(1546,147), u(1746,61), u(1224,1626), u(1254,1788), 
u(839,1299), u(474,651), u(549,501), u(1759,949), u(929,140), u(1510,56), u(208,1955), u(733,1215), 
u(1074,1354), u(894,1287), u(1253,284), u(759,1348), u(1022,1560), u(887,1118), u(1867,1109), u(1497,1117), 
u(1469,1541), u(367,1515), u(1190,1502), u(460,1603), u(1273,245), u(1982,814), u(1912,1847), u(531,1254), 
u(1414,523), u(48,651), u(1606,1460), u(243,1690), u(1705,622), u(1193,643), u(815,1955), u(797,1257), 
u(253,1429), u(1762,817), u(1885,363), u(1840,333), u(1666,1459), u(1961,1787), u(558,1996), u(1987,379), 
u(25,1603), u(755,692), u(298,1069), u(94,750), u(578,1614), u(1519,865), u(1385,1062), u(1278,1243), 
u(220,354), u(437,1268), u(749,840), u(1698,407), u(686,1783), u(1644,1674), u(554,520), u(73,1594), 
u(527,704), u(1136,1592), u(1534,1087), u(1955,766), u(1809,254), u(1406,950), u(1082,1764), u(757,48), 
u(1585,1143), u(851,523), u(83,1127), u(1520,1033), u(94,652), u(1916,111), u(501,1970), u(1444,1840), 
u(1731,1372), u(1995,473), u(1713,1927), u(1156,1912), u(757,1696), u(1080,1005), u(1600,1837), u(733,580), 
u(1753,61), u(155,1169), u(378,1858), u(479,1355), u(842,942), u(348,1670), u(1184,1341), u(447,1995), 
u(1637,592), u(829,1392), u(1417,442), u(713,305), u(1964,536), u(1458,73), u(818,1489), u(395,1687), 
u(1317,811), u(187,734), u(310,103), u(1435,454), u(1067,964), u(1198,1864), u(1579,62), u(1114,876), 
u(1428,783), u(1815,1344), u(1418,1918), u(1330,1990), u(1164,802), u(144,131), u(806,1368), u(621,155), 
u(54,534), u(1470,1682), u(744,1367), u(937,1349), u(96,467), u(1415,1141), u(847,1996), u(1165,1235), 
u(1476,1806), u(1825,264), u(674,83), u(1401,959), u(1275,1964), u(1426,99), u(1816,561), u(1974,703), 
u(929,1806), u(1220,1415), u(733,1597), u(1221,997), u(441,640), u(633,888), u(337,1452), u(9,1764), 
u(1342,957), u(414,1021), u(332,1099), u(1004,1134), u(405,928), u(284,1830), u(295,590), u(707,1994), 
u(98,644), u(1333,273), u(1516,1175), u(211,291), u(1803,106), u(1172,1428), u(1585,1169), u(739,1091), 
u(1774,969), u(1824,1423), u(1723,1567), u(1907,381), u(1847,37), u(382,119), u(870,1414), u(756,624), 
u(901,499), u(399,1532), u(522,920), u(1516,64), u(1071,927), u(43,23), u(317,327), u(140,1781), 
u(707,15), u(989,218), u(371,528), u(1565,498), u(84,1071), u(75,694), u(360,1434), u(1749,1127), 
u(1867,262), u(1692,1406), u(1363,90), u(437,1084), u(320,603), u(941,870), u(443,542), u(680,340), 
u(1262,1701), u(1525,1085), u(1981,1456), u(1119,1223), u(786,1248), u(401,223), u(1771,1483), u(1002,1975), 
u(714,260), u(1174,1048), u(1843,380), u(1956,59), u(813,71), u(253,1107), u(62,1868), u(519,1207), 
u(1750,1077), u(1741,649), u(453,265), u(1399,232), u(808,1225), u(1090,311), u(295,836), u(1513,1579), 
u(344,259), u(1496,547), u(1952,1920), u(751,1630), u(1001,1705), u(1048,807), u(1461,799), u(1500,760), 
u(1669,625), u(628,465), u(1868,1306), u(922,1138), u(197,1095), u(557,1500), u(1313,1201), u(1973,286), 
u(849,1460), u(1994,930), u(1866,1284), u(1179,383), u(523,1318), u(1087,981), u(1115,262), u(1157,1316), 
u(1704,266), u(1868,1029), u(498,1368), u(1892,1490), u(182,389), u(1904,1272), u(393,728), u(758,380), 
u(1507,506), u(694,160), u(1950,1476), u(1290,833), u(203,160), u(817,1578), u(1684,1623), u(711,1128), 
u(1727,1359), u(1831,1776), u(800,1676), u(203,777), u(1185,74), u(924,43), u(1289,2), u(1932,83), 
u(785,1471), u(309,1140), u(758,1942), u(820,1438), u(55,915), u(1371,1485), u(19,689), u(1068,387), 
u(799,702), u(1572,1075), u(1422,1895), u(1433,425), u(811,556), u(94,1166), u(1945,45), u(1246,1554), 
u(337,1873), u(237,1710), u(1027,564), u(1191,592), u(1279,1710), u(571,526), u(1154,1700), u(824,1221), 
u(1166,527), u(834,235), u(1196,127), u(849,1794), u(1856,1679), u(577,937), u(492,318), u(140,892), 
u(1003,665), u(566,646), u(1686,1662), u(1515,628), u(265,107), u(927,1459), u(316,1335), u(262,1696), 
u(265,506), u(50,1499), u(1143,907), u(1406,187), u(302,725), u(230,585), u(1246,718), u(1739,132), 
u(814,234), u(72,1661), u(1849,1994), u(591,1812), u(587,1104), u(1635,1986), u(915,711), u(1352,1816), 
u(716,1747), u(336,55), u(474,1213), u(1746,840), u(1316,409), u(1590,276), u(714,1583), u(859,1243), 
u(985,410), u(216,1410), u(820,754), u(904,354), u(1009,1140), u(581,743), u(550,1382), u(1751,1522), 
u(332,799), u(1500,19), u(581,460), u(200,930), u(1258,889), u(1887,1116), u(1588,1683), u(1919,458), 
u(1148,1480), u(86,1574), u(627,395), u(1481,89), u(334,1303), u(1008,1340), u(806,693), u(109,1644), 
u(36,451), u(1050,497), u(783,1568), u(1671,1758), u(1037,1147), u(750,232), u(1350,662), u(1209,1080), 
u(1707,399), u(1326,525), u(1620,18), u(1142,1261), u(155,177), u(264,1015), u(1547,1142), u(231,1703), 
u(1124,1347), u(1652,1612), u(1200,1806), u(1286,48), u(1641,1350), u(1265,874), u(788,601), u(1633,416), 
u(1417,1630), u(404,114), u(1434,1242), u(318,1407), u(1990,813), u(479,1272), u(697,626), u(73,1835), 
u(633,1639), u(345,535), u(844,631), u(25,224), u(992,1642), u(391,1697), u(1876,1676), u(490,1576), 
u(1373,1284), u(1303,24), u(521,715), u(476,1598), u(1,1416), u(662,833), u(193,339), u(1120,1199), 
u(1274,425), u(794,968), u(992,194), u(1066,878), u(1569,1223), u(1867,1548), u(936,980), u(1825,1576), 
u(472,1420), u(151,257), u(452,809), u(930,1857), u(1368,1189), u(1537,1393), u(340,945), u(1827,834), 
u(775,886), u(1816,1679), u(484,1300), u(529,850), u(431,413), u(1698,1813), u(1309,1675), u(1012,1907), 
u(129,341), u(588,1772), u(1998,750), u(1365,1850), u(1303,770), u(1106,1872), u(1448,827), u(687,290), 
u(1366,1955), u(368,1567), u(1980,326), u(735,288), u(793,665), u(1997,7), u(1807,21), u(325,1783), 
u(958,303), u(913,341), u(238,1037), u(477,776), u(719,776), u(839,1773), u(1640,593), u(317,250), 
u(1758,109), u(588,1367), u(153,1485), u(1723,860), u(663,1812), u(1078,1600), u(1146,1343), u(725,1357), 
u(1761,2), u(1111,1667), u(1432,1609), u(1649,770), u(715,261), u(1893,537), u(227,289), u(25,334), 
u(846,262), u(308,1756), u(857,438), u(223,1171), u(231,132), u(942,5), u(1229,409), u(1862,1717), 
u(1529,570), u(857,1396), u(1033,1840), u(954,908), u(576,716), u(1114,1542), u(1704,1399), u(1801,1101), 
u(1713,1762), u(1044,1346), u(1138,275), u(1648,763), u(1878,330), u(1277,565), u(1148,1419), u(75,891), 
u(1438,1577), u(1510,1110), u(1677,541), u(1151,1199), u(1777,71), u(1033,106), u(1759,845), u(331,48), 
u(1631,402), u(3,688), u(1228,1527), u(104,116), u(174,1557), u(1461,568), u(1182,16), u(388,1841), 
u(855,1030), u(121,327), u(1192,1962), u(1687,594), u(1980,692), u(1872,1478), u(1263,986), u(981,1604), 
u(58,406), u(73,270), u(545,165), u(378,648), u(1872,1399), u(558,1234), u(796,1275), u(514,473), 
u(1329,1375), u(1422,504), u(589,1791), u(696,977), u(1035,1383), u(1539,854), u(276,1618), u(1807,1143), 
u(640,437), u(1836,515), u(1697,1590), u(1951,714), u(1916,1876), u(1318,1725), u(645,1713), u(851,1622), 
u(601,1492), u(1839,1034), u(70,1151), u(999,1173), u(977,1387), u(1628,1358), u(46,1974), u(1553,972), 
